symbol,price_day,price_change,closing_price,start_price,end_price 
A,2024-05-01,1.2,138.69,,
A,2024-04-30,-1.8,137.04,,
A,2024-04-29,1.3,139.59,,
A,2024-04-26,1.0,137.74,,
A,2024-04-25,-0.8,136.37,,
A,2024-04-24,-1.2,137.49,,
A,2024-04-23,4.0,139.2,,
A,2024-04-22,0.9,133.91,,
A,2024-04-19,0.2,132.73,,
A,2024-04-18,-1.6,132.44,,
A,2024-04-17,-1.6,134.55,,
A,2024-04-16,-2.4,136.8,,
A,2024-04-15,-0.4,140.22,,
A,2024-04-12,-2.9,140.73,,
A,2024-04-11,0.6,145.0,,
A,2024-04-10,-2.2,144.16,,
A,2024-04-09,2.0,147.4,,
A,2024-04-08,0.2,144.46,,
A,2024-04-05,2.0,144.12,,
A,,,,141.34,138.69
AA,2024-05-01,-2.5,34.25,,
AA,2024-04-30,-6.7,35.14,,
AA,2024-04-29,2.1,37.65,,
AA,2024-04-26,2.6,36.88,,
AA,2024-04-25,-0.4,35.94,,
AA,2024-04-24,0.1,36.08,,
AA,2024-04-23,-0.8,36.06,,
AA,2024-04-22,2.3,36.35,,
AA,2024-04-19,0.2,35.53,,
AA,2024-04-18,-0.2,35.47,,
AA,2024-04-17,-1.5,35.55,,
AA,2024-04-16,-1.3,36.09,,
AA,2024-04-15,3.9,36.57,,
AA,2024-04-12,-2.8,35.2,,
AA,2024-04-11,0.1,36.23,,
AA,2024-04-10,-1.7,36.19,,
AA,2024-04-09,1.3,36.82,,
AA,2024-04-08,-0.4,36.34,,
AA,2024-04-05,1.5,36.49,,
AA,,,,35.95,34.25
AAL,2024-05-01,0.5,13.58,,
AAL,2024-04-30,-3.4,13.51,,
AAL,2024-04-29,0.7,13.98,,
AAL,2024-04-26,-1.8,13.88,,
AAL,2024-04-25,1.5,14.13,,
AAL,2024-04-24,-2.2,13.92,,
AAL,2024-04-23,-2.1,14.23,,
AAL,2024-04-22,3.0,14.53,,
AAL,2024-04-19,0.6,14.11,,
AAL,2024-04-18,0.9,14.02,,
AAL,2024-04-17,6.6,13.89,,
AAL,2024-04-16,0.7,13.03,,
AAL,2024-04-15,-1.6,12.94,,
AAL,2024-04-12,-3.5,13.15,,
AAL,2024-04-11,1.6,13.62,,
AAL,2024-04-10,-3.9,13.41,,
AAL,2024-04-09,0.4,13.95,,
AAL,2024-04-08,1.0,13.9,,
AAL,2024-04-05,-0.5,13.76,,
AAL,,,,13.83,13.58
AAP,2024-05-01,0.1,73.03,,
AAP,2024-04-30,-3.2,72.98,,
AAP,2024-04-29,0.4,75.42,,
AAP,2024-04-26,0.6,75.14,,
AAP,2024-04-25,-2.4,74.71,,
AAP,2024-04-24,-1.9,76.53,,
AAP,2024-04-23,1.0,78.0,,
AAP,2024-04-22,-1.9,77.22,,
AAP,2024-04-19,1.9,78.69,,
AAP,2024-04-18,4.3,77.2,,
AAP,2024-04-17,3.4,74.05,,
AAP,2024-04-16,2.2,71.61,,
AAP,2024-04-15,-0.6,70.08,,
AAP,2024-04-12,-5.2,70.5,,
AAP,2024-04-11,-4.6,74.35,,
AAP,2024-04-10,-0.7,77.95,,
AAP,2024-04-09,0.4,78.46,,
AAP,2024-04-08,1.0,78.13,,
AAP,2024-04-05,-2.4,77.34,,
AAP,,,,79.26,73.03
AAPL,2024-05-01,-0.6,169.3,,
AAPL,2024-04-30,-1.8,170.33,,
AAPL,2024-04-29,2.5,173.5,,
AAPL,2024-04-26,-0.3,169.3,,
AAPL,2024-04-25,0.5,169.89,,
AAPL,2024-04-24,1.3,169.02,,
AAPL,2024-04-23,0.6,166.9,,
AAPL,2024-04-22,0.5,165.84,,
AAPL,2024-04-19,-1.2,165.0,,
AAPL,2024-04-18,-0.6,167.04,,
AAPL,2024-04-17,-0.8,168.0,,
AAPL,2024-04-16,-1.9,169.38,,
AAPL,2024-04-15,-2.2,172.69,,
AAPL,2024-04-12,0.9,176.55,,
AAPL,2024-04-11,4.3,175.04,,
AAPL,2024-04-10,-1.1,167.78,,
AAPL,2024-04-09,0.7,169.67,,
AAPL,2024-04-08,-0.7,168.45,,
AAPL,2024-04-05,0.5,169.58,,
AAPL,,,,168.82,169.3
ABBV,2024-05-01,-0.6,161.72,,
ABBV,2024-04-30,0.7,162.64,,
ABBV,2024-04-29,1.2,161.52,,
ABBV,2024-04-26,-4.6,159.62,,
ABBV,2024-04-25,-0.3,167.29,,
ABBV,2024-04-24,-1.0,167.8,,
ABBV,2024-04-23,1.0,169.54,,
ABBV,2024-04-22,0.9,167.89,,
ABBV,2024-04-19,1.1,166.41,,
ABBV,2024-04-18,0.2,164.66,,
ABBV,2024-04-17,1.1,164.25,,
ABBV,2024-04-16,0.5,162.54,,
ABBV,2024-04-15,-0.4,161.67,,
ABBV,2024-04-12,-3.1,162.28,,
ABBV,2024-04-11,-0.9,167.52,,
ABBV,2024-04-10,-0.7,169.03,,
ABBV,2024-04-09,0.2,170.14,,
ABBV,2024-04-08,-0.1,169.8,,
ABBV,2024-04-05,1.3,170.0,,
ABBV,,,,167.9,161.72
ABCL,2024-05-01,0.0,3.78,,
ABCL,2024-04-30,-1.6,3.78,,
ABCL,2024-04-29,2.1,3.84,,
ABCL,2024-04-26,3.6,3.76,,
ABCL,2024-04-25,-6.9,3.63,,
ABCL,2024-04-24,-1.8,3.9,,
ABCL,2024-04-23,-1.0,3.97,,
ABCL,2024-04-22,3.6,4.01,,
ABCL,2024-04-19,-1.0,3.87,,
ABCL,2024-04-18,-0.3,3.91,,
ABCL,2024-04-17,-3.2,3.92,,
ABCL,2024-04-16,-3.1,4.05,,
ABCL,2024-04-15,-3.7,4.18,,
ABCL,2024-04-12,-0.9,4.34,,
ABCL,2024-04-11,-1.8,4.38,,
ABCL,2024-04-10,-5.7,4.46,,
ABCL,2024-04-09,5.3,4.73,,
ABCL,2024-04-08,3.5,4.49,,
ABCL,2024-04-05,-1.4,4.34,,
ABCL,,,,4.4,3.78
ABNB,2024-05-01,-1.5,156.16,,
ABNB,2024-04-30,-2.3,158.57,,
ABNB,2024-04-29,-1.2,162.25,,
ABNB,2024-04-26,0.7,164.23,,
ABNB,2024-04-25,0.1,163.01,,
ABNB,2024-04-24,1.2,162.84,,
ABNB,2024-04-23,2.8,160.95,,
ABNB,2024-04-22,1.0,156.61,,
ABNB,2024-04-19,-3.2,155.01,,
ABNB,2024-04-18,1.1,160.1,,
ABNB,2024-04-17,1.1,158.37,,
ABNB,2024-04-16,0.7,156.66,,
ABNB,2024-04-15,-2.4,155.6,,
ABNB,2024-04-12,-3.7,159.37,,
ABNB,2024-04-11,3.2,165.42,,
ABNB,2024-04-10,-1.5,160.28,,
ABNB,2024-04-09,1.5,162.66,,
ABNB,2024-04-08,-0.9,160.27,,
ABNB,2024-04-05,1.8,161.77,,
ABNB,,,,158.84,156.16
ABT,2024-05-01,0.3,106.29,,
ABT,2024-04-30,-1.2,105.97,,
ABT,2024-04-29,-0.2,107.27,,
ABT,2024-04-26,0.6,107.53,,
ABT,2024-04-25,-0.0,106.86,,
ABT,2024-04-24,-0.7,106.89,,
ABT,2024-04-23,0.5,107.59,,
ABT,2024-04-22,-0.2,107.07,,
ABT,2024-04-19,1.9,107.28,,
ABT,2024-04-18,-0.6,105.27,,
ABT,2024-04-17,-3.0,105.9,,
ABT,2024-04-16,0.3,109.21,,
ABT,2024-04-15,-0.2,108.89,,
ABT,2024-04-12,-2.1,109.11,,
ABT,2024-04-11,0.3,111.45,,
ABT,2024-04-10,-1.1,111.17,,
ABT,2024-04-09,1.7,112.44,,
ABT,2024-04-08,-0.6,110.52,,
ABT,2024-04-05,1.0,111.2,,
ABT,,,,110.11,106.29
ACAD,2024-05-01,2.0,17.05,,
ACAD,2024-04-30,-2.3,16.71,,
ACAD,2024-04-29,2.3,17.1,,
ACAD,2024-04-26,2.5,16.71,,
ACAD,2024-04-25,-1.7,16.31,,
ACAD,2024-04-24,-0.9,16.59,,
ACAD,2024-04-23,-1.5,16.74,,
ACAD,2024-04-22,1.0,16.99,,
ACAD,2024-04-19,-1.5,16.82,,
ACAD,2024-04-18,-0.7,17.07,,
ACAD,2024-04-17,0.6,17.19,,
